,id do pedido,Origem,Destino
212,197342,04344-010,12010-160
213,197354,04715-002,01123-010
214,197559,18043-003,09405-510
215,197591,04715-002,02990-100
216,197904,12010-150,13405-061
217,198037,02721-200,07717-215
218,198083,09560-500,16700-000
219,198349,18043-003,02068-050
220,199189,04160-120,18480-000
221,199193,12010-150,06405-035
222,199432,12010-150,11443-725
223,199489,02721-200,17502-430
224,199604,02721-200,12514-080
225,199614,04715-002,03968-010
226,199919,12010-150,09050-210
227,199995,12010-150,12230-083
228,200364,04715-002,19274-000
229,200547,19800-130,14405-271
230,200744,12010-150,09050-210
231,201183,12010-150,02017-000
232,202425,12010-150,07024030
233,202722,04715-002,01510000
234,202899,12010-150,17790000
235,202958,04715-002,02464100
236,203043,12010-150,06263-010
237,203216,02552-000,07190-010
238,203818,18043-003,06341-420
239,204413,02552-000,08616-830
240,205458,03526-000,15020-270
241,200186,23073-200,24812-086
242,194315,35701-004,35400-000
243,195516,39480-000,37778-000
244,196380,90650-002,96540-000
245,198347,31030-035,37778-000
246,198635,39480-000,37778-000
247,199145,37800-000,35148-000
248,203052,35701-004,35148-000
249,194310,29164-018,28013-023
250,194413,88117-402,88048-417
251,195340,04715-002,04076-010
252,192537,12010-150,09770-190
253,192545,13070-752,12322-310
254,192617,12010-150,37130-181
255,192701,03622-010,11672-000
256,192758,04715-002,17340-000
257,192830,04344-010,13990-000
258,192985,13070-752,15010-030
259,193550,04715-002,16403-015
260,193551,13405-230,16403-015
261,193812,14701-550,13329-350
262,193852,12010-150,18040-435
263,193910,03526-000,18180-000
264,193961,12010-150,04543-000
265,194026,13310-160,06310-160
266,194037,13403-000,15700-114
267,194038,13070-752,15700-114
268,194897,12010-150,09920-200
269,194983,03134-001,09990-195
270,195211,14405-268,38184-044
271,195673,04715-002,06230-092
272,195784,12010-150,12630-000
273,195812,04715-002,19470-000
274,195972,04344-010,09760-280
275,196367,04715-002,07776-395
276,196632,04715-002,13400-186
277,196676,04715-002,17050-621
278,197339,12010-150,05813-070
279,197867,06343-510,18270-820
280,198434,04715-002,12490-000
281,198519,14701-550,06826-510
282,199105,04715-002,18690-000
283,199293,12010-150,37553-408
284,200048,03526-000,02555-110
285,200344,02552-000,14787-040
286,200347,13184-691,02310-060
287,200671,14085-620,07700-230
288,200678,04715-002,06243-060
289,202429,04715-002,04470185
290,203440,12010-150,02334080
291,203709,04715-002,07224-030
292,203878,04715-002,15828000
293,203943,12010-150,37701-289
294,204195,09351-090,01539000
295,204407,04715-002,12970000
296,204495,03526-000,12245-030
297,204644,04344-010,17280-000
298,193033,92120-140,92025-840
299,193077,04715-002,04678-105
300,193078,03345-000,04678-105
301,194102,92120-140,90050-030
302,194326,92120-140,90050-030
303,194327,92120-140,90050-030
304,194880,02552-000,01239-020
305,194888,02552-000,01239-020
306,194958,03221-000,01414-902
307,195434,02552-000,03679-030
308,195461,02552-000,03066-065
309,195477,03345-000,01526-020
310,195666,03526-000,03373-090
311,196009,02552-000,06150-620
312,196498,04715-002,02068-050
313,197901,03622-010,04543-000
314,197943,02552-000,03692-030
315,198061,06075-180,04543-000
316,198085,02721-200,05114-130
317,198601,23073-200,26041-510
318,198986,03345-000,04105-903
319,199227,23073-200,24410-420
320,199295,04715-002,04156-000
321,199553,03221-000,02068-050
322,199556,03345-000,02068-050
323,199715,02721-200,06460-040
324,200112,30421-284,31010-370
325,201141,23073-200,20560-120
326,192676,30421-284,35171-470
327,193035,99040-000,91540-000
328,193067,37800-000,34505-460
329,195365,92120-140,95590-000
330,195366,92120-140,95590-000
331,197708,96170-000,96060-150
332,198636,35701-004,37778-000
333,198688,31030-035,35148-000
334,198701,35701-004,36037-550
335,199333,30421-284,36061-500
336,200534,35701-004,39530-000
337,203262,30421-284,37474-000
338,194528,88117-402,88048-417
339,194571,88117-402,88048-417
340,195106,88117-402,88048-417
341,195107,88117-402,88048-417
342,197768,74430-130,74920-650
343,199988,65913-447,65040-840
344,202586,79602-020,79630570
345,198158,13360-000,13487-598
346,200169,12010-150,05711-000
347,193178,12010-150,13973-255
348,194667,04344-010,07243-430
349,195689,14701-550,17050-621
350,196248,03711-007,37502-514
351,197022,04715-002,13425-107
352,197550,04715-002,17560-000
353,198406,04715-002,11025-140
354,198516,04715-002,12225-011
355,199917,14405-268,09050-210
356,199998,03622-010,12233-090
357,200090,02552-000,11533-220
358,203530,13403-000,03985-000
359,200476,13405-230,02961-130
360,192718,18043-003,07181-100
361,200089,03221-000,11533-220
362,195514,35900-700,37778-000
363,197087,99040-000,92025-840
364,198379,92120-140,98300-000
365,198441,92120-140,90850-000
366,195783,74430-130,75713-110
367,200308,65913-447,65065-180
368,198780,04344-010,03190-030
369,200730,04133-200,13073-010
370,201323,03047-000,13456-132
371,192539,03711-007,90850-000
372,192766,06075-180,23080-000
373,192843,04715-002,23035-290
374,192954,04344-010,21862-160
375,193131,92120-140,13140-299
376,193179,03989-010,23045-830
377,193370,03622-010,25576-271
378,193568,03622-010,82920-080
379,193638,03989-010,88034-900
380,193667,03622-010,24230-152
381,193735,18043-003,29018-190
382,194068,04344-010,23092-080
383,194092,29164-018,23050-435
384,194141,04344-010,22451-040
385,194164,04715-002,26215-280
386,194234,92120-140,13214-300
387,194357,91790-042,03666-060
388,194361,03622-010,81920-080
389,194488,03622-010,79090-130
390,194601,04344-010,22743-830
391,194671,13405-230,26582-020
392,194814,82820-090,04330-020
393,194819,04344-010,33600-000
394,194905,03622-010,72130-700
395,194974,02721-200,72115-939
396,195376,06705-030,80040-450
397,195525,35701-004,20031-040
398,195527,35701-004,20031-040
399,195688,04715-002,31744-530
400,195976,03134-001,20770-240
401,196001,03134-001,79116-605
402,196016,04344-010,93225-020
403,196331,23073-200,06422-040
404,196345,03622-010,31950-550
405,196489,35701-004,12228-970
406,196583,35701-004,13330-260
407,196783,04715-002,88025-210
408,197437,04344-010,23081-290
409,197438,09351-090,70353-020
410,197556,04715-002,32073-160
411,197577,35701-004,03204-080
412,197695,31030-035,21843-030
413,198223,06343-510,74525-030
414,198529,81130-000,13348-440
415,198801,31030-035,21931-582
416,199369,04344-010,79008-200
417,199557,04344-010,23510-095
418,199884,06343-510,25900-862
419,199949,06343-510,74870-330
420,200356,82820-090,13280-182
421,200938,90230-041,01224-030
422,201036,03989-010,24421-300
423,201294,32242-310,22020-002
424,201464,06075-180,24220-030
425,201752,04715-002,90160-181
426,202043,23073-200,04366-000
427,202380,80220-031,13348-510
428,202447,35701-004,07791235
429,203061,13101-150,24421-300
430,203062,13101-150,24421-300
431,203369,03622-010,26293-342
432,203484,80220-031,01224-030
433,203737,09190-610,31742-036
434,203786,03989-010,70765-050
435,204101,03622-010,20780-270
436,204289,32242-310,20940-070
437,204290,03622-010,20940-070
438,204311,03622-010,24421-300
439,204312,02721-200,25085-040
440,204633,03134-001,70686745
441,205204,03047-000,88053-516
442,193125,12010-150,09291-250
443,193411,03989-010,13609-374
444,193821,13360-000,13950-000
445,194077,13405-230,14010-080
446,194863,06703-001,37704-000
447,195421,03526-000,17800-000
448,195926,04715-002,04844-220
449,196270,06703-001,16400-049
450,196568,04715-002,06310-320
451,197344,12010-150,06462-355
452,199396,12010-150,17511-405
453,202105,12010-150,13843-154
454,202859,14085-620,03319-002
455,203703,03345-000,18071-308
456,204007,14701-550,04293-970
457,194941,02552-000,16403-015
458,194942,02552-000,16403-015
459,197770,92120-140,92025-840
460,198600,35701-004,35502-043
461,198728,30421-284,39592-000
462,197801,88117-402,89809-545
463,193256,04715-002,96700-000
464,194626,02721-200,93010-280
465,194627,18043-003,93010-280
466,195755,04344-010,22753-330
467,195970,35701-004,24430-150
468,196353,09351-090,26433-270
469,196503,04344-010,22765-004
470,198962,04715-002,23092-080
471,200273,09351-090,24935-495
472,200497,13405-230,22020-002
473,201302,04715-002,21380-170
474,201622,05835-005,22220-030
475,201750,35701-004,72906-268
476,202433,05835-005,32639-614
477,193138,03622-010,11460-002
478,204328,15133-272,04786-040
479,196863,03622-010,88030-000
480,201470,02552-000,14066-080
481,204002,04133-200,15092-470
482,204836,04133-200,15092-470
483,205616,07180-270,05614-040
484,192902,12010-150,26285-510
485,200569,19046-070,11680-000
486,195802,03526-000,14085-560
487,192516,18043-003,24430-150
488,193279,35701-004,13416-404
489,193431,13403-000,20740-030
490,194215,03622-010,90050-030
491,194273,91790-042,03666-060
492,194287,18043-003,24436-660
493,194383,88117-402,90880-370
494,194450,13301-909,32240-150
495,194658,13310-160,32240-150
496,194878,03622-010,74835-470
497,195081,03989-010,90050-030
498,195195,03989-010,90050-030
499,195224,13405-230,94440-192
