,Unnamed: 0,id do pedido,Origem,Destino,Distancia
144,144,196505,04344-010,06711-340,31832.8
145,145,196983,14405-268,04950-060,420404.7
146,146,196992,12010-150,37701-222,239826.8
147,147,197972,03622-010,12308-650,75414.4
148,148,198224,13405-230,16700-000,435779.9
149,149,198593,14405-268,14810-352,172034.1
150,150,198770,04344-010,13076-430,109650.9
151,151,198994,04344-010,08230-365,41924.8
152,152,199234,12010-150,13064-160,199846.3
153,153,199244,04715-002,09530-530,16954.7
154,154,199726,12010-150,05843-290,146985.4
155,155,200060,13405-230,11421-200,254004.7
156,156,202125,03989-010,13203-740,71171.1
157,157,202168,12010-150,11740-000,248048.4
158,158,203198,03622-010,19280-000,711649.9
159,159,203535,14405-268,12308-650,445681.6
160,160,203648,04456-142,04892-140,25074.0
161,161,204318,13101-150,02377-000,99222.1
162,162,204350,04715-002,04310050,7583.4
163,163,204618,13070-752,12950-360,67519.1
164,164,204628,14085-620,04209-003,322295.9
165,165,192610,37800-000,38500-000,433584.8
166,166,194802,31255-100,35995-000,148965.2
167,167,195037,72252-098,71680-368,39499.2
168,168,195675,96170-000,90030-140,198154.8
169,169,197347,96170-000,92330-390,208237.8
170,170,198431,35701-004,38130-000,606412.6
171,171,198637,35300-102,36700-000,239899.1
172,172,198670,37800-000,39205-000,595951.1
173,173,200326,37800-000,32235-130,423104.6
174,174,200732,31030-035,35900-372,104192.9
175,175,202930,35701-004,36420-000,185043.1
176,176,204876,85501-000,85575-000,80661.6
177,177,205940,03047-000,08040-250,6788.6
178,178,194580,23073-200,24430-150,66922.5
179,179,196359,37500-176,04070-070,270264.5
180,180,197767,82820-090,80050-520,6465.8
181,181,197889,31030-035,35170-306,206479.7
182,182,199272,37800-000,37778-000,127945.2
183,183,199710,37800-000,31140-410,440138.4
184,184,193386,29313-656,29152-287,135518.7
185,185,199714,74430-120,71699-138,214871.6
186,186,192556,13360-000,15910-000,262581.0
187,187,192581,12010-150,01410-020,134010.1
188,188,192879,12010-150,12236-063,45818.3
189,189,193177,12010-150,11442-190,209451.0
190,190,193229,02721-200,13190-000,113297.1
191,191,193334,13405-230,03555-070,170605.2
192,192,193344,19800-130,01241-010,431465.9
193,193,193454,02552-000,15041-506,440278.8
194,194,193493,01538-001,09310-735,27226.4
195,195,193616,12010-150,17012-226,450504.5
196,196,194242,19800-130,12228-780,529811.1
197,197,194279,18043-003,08970-000,209602.2
198,198,194401,02552-000,07243-430,32993.8
199,199,194501,18043-003,13080-010,103320.4
200,200,194508,12010-150,03666-060,121296.6
201,201,194577,12010-150,03666-060,121296.6
202,202,194706,12010-150,03666-060,121296.6
203,203,194818,04344-010,13065-270,108757.9
204,204,194934,03526-000,13311-530,111816.7
205,205,195116,12010-150,17400-000,538051.8
206,206,195332,14405-268,05830-250,410113.2
207,207,195650,06703-001,03373-090,44016.8
208,208,195683,03526-000,04944-050,45662.6
209,209,195874,04344-010,37701-249,270531.1
210,210,196050,19800-130,04252-020,440670.0
211,211,196189,09351-090,09110-160,10393.1
212,212,197342,04344-010,12010-160,147915.4
213,213,197354,04715-002,01123-010,15441.3
214,214,197559,18043-003,09405-510,136676.2
215,215,197591,04715-002,02990-100,34088.2
216,216,197904,12010-150,13405-061,262855.7
217,217,198037,02721-200,07717-215,33727.8
218,218,198083,09560-500,16700-000,562622.9
219,219,198349,18043-003,02068-050,102958.0
220,220,199189,04160-120,18480-000,364305.7
221,221,199193,12010-150,06405-035,155223.6
222,222,199432,12010-150,11443-725,210305.7
223,223,199489,02721-200,17502-430,439233.4
224,224,199604,02721-200,12514-080,189168.1
225,225,199614,04715-002,03968-010,32423.0
226,226,199919,12010-150,09050-210,149818.4
227,227,199995,12010-150,12230-083,44496.9
228,228,200364,04715-002,19274-000,737676.7
229,229,200547,19800-130,14405-271,475870.7
230,230,200744,12010-150,09050-210,149818.4
231,231,201183,12010-150,02017-000,127858.8
232,232,202425,12010-150,07024030,113298.1
233,233,202722,04715-002,01510000,12778.1
234,234,202899,12010-150,17790000,715241.1
235,235,202958,04715-002,02464100,19804.2
236,236,203043,12010-150,06263-010,147555.7
237,237,203216,02552-000,07190-010,27617.8
238,238,203818,18043-003,06341-420,88485.4
239,239,204413,02552-000,08616-830,56233.0
240,240,205458,03526-000,15020-270,454902.9
